"cod_item";"fator";"faceta";"polo";"descricao";"widget";"cat_1";"cat_2";"cat_3";"cat_4";"cat_5";"gabarito";"a";"b";"c";"d"
"enem2009059132";NA;"16";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059132.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,99283;1,32131;0,15818;1
"enem2009059133";NA;"15";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059133.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,22631;1,374;0,18124;1
"enem2009059134";NA;"11";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059134.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,30382;1,31555;0,17822;1
"enem2009059135";NA;"16";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009059135.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,96067;2,21352;0,19902;1
"enem2010095091e";"e";"8";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095091e.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,98758;-0,7191;0,09777;1
"enem2010095092e";"e";"7";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095092e.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,72792;2,60869;0,15949;1
"enem2010095093e";"e";"6";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095093e.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,89881;1,31055;0,05298;1
"enem2010095094e";"e";"5";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095094e.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,35609;2,07504;0,14123;1
"enem2010095095e";"e";"7";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095095e.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,59069;-0,46692;0,23159;1
"enem2010095091i";"i";"6";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095091i.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,97907;0,98451;0,13471;1
"enem2010095092i";"i";"5";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095092i.jpg";"radio_image";"A";"B";"C";"D";"E";"A";4,56819;0,76486;0,42491;1
"enem2010095093i";"i";"8";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095093i.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,38795;1,03771;0,14402;1
"enem2010095094i";"i";"6";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095094i.jpg";"radio_image";"A";"B";"C";"D";"E";"C";3,40621;0,63468;0,1305;1
"enem2010095095i";"i";"7";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095095i.jpg";"radio_image";"A";"B";"C";"D";"E";"D";3,1426;0,80101;0,24898;1
"enem2010095096";NA;"26";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095096.jpg";"radio_image";"A";"B";"C";"D";"E";"C";3,07604;0,22901;0,21088;1
"enem2010095097";NA;"19";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095097.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,34558;-0,20813;0,26627;1
"enem2010095098";NA;"3";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095098.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,32533;0,57399;0,40145;1
"enem2010095099";NA;"25";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095099.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,50039;1,76787;0,08249;1
"enem2010095100";NA;"12";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095100.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,89315;-0,21956;0,13498;1
"enem2010095101";NA;"19";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095101.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,58737;0,00549;0,13956;1
"enem2010095102";NA;"4";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095102.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,39392;0,34729;0,07385;1
"enem2010095103";NA;"23";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095103.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,56852;0,67627;0,12512;1
"enem2010095104";NA;"24";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095104.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,44601;2,1107;0,07648;1
"enem2010095105";NA;"13";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095105.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,23305;2,04125;0,06718;1
"enem2010095106";NA;"9";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095106.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,7748;0,69586;0,00376;1
"enem2010095107";NA;"26";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095107.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,62899;0,36762;0,20571;1
"enem2010095108";NA;"28";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095108.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,25801;0,77876;0,13932;1
"enem2010095109";NA;"29";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095109.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,4338;-0,80441;0,00635;1
"enem2010095110";NA;"10";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095110.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,49467;-0,5592;0,14679;1
"enem2010095111";NA;"1";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095111.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,89166;0,31137;0,14389;1
"enem2010095112";NA;"3";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095112.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,48112;0,41902;0,18058;1
"enem2010095113";NA;"18";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095113.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,58996;1,20586;0,12832;1
"enem2010095115";NA;"20";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095115.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,5974;0,75175;0,16123;1
"enem2010095116";NA;"3";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095116.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,63969;0,69153;0,16411;1
"enem2010095118";NA;"17";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095118.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,91745;1,49628;0,17249;1
"enem2010095119";NA;"30";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095119.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,17112;-0,30541;0,07245;1
"enem2010095120";NA;"11";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095120.jpg";"radio_image";"A";"B";"C";"D";"E";"A";0,78958;-0,2446;0,05225;1
"enem2010095121";NA;"22";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095121.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,99469;0,97618;0,20987;1
"enem2010095122";NA;"21";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095122.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,88969;-0,46003;0,17616;1
"enem2010095123";NA;"14";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095123.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,49321;0,59202;0,1915;1
"enem2010095124";NA;"23";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095124.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,36726;1,00596;0,15489;1
"enem2010095125";NA;"23";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095125.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,57349;0,66788;0,2627;1
"enem2010095126";NA;"24";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095126.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,41446;0,06013;0,11401;1
"enem2010095127";NA;"27";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095127.jpg";"radio_image";"A";"B";"C";"D";"E";"D";3,18378;0,18139;0,13769;1
"enem2010095129";NA;"15";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095129.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,94354;0,92331;0,16333;1
"enem2010095130";NA;"18";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095130.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,62868;1,15324;0,15033;1
"enem2010095131";NA;"13";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095131.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,11371;0,50015;0,24302;1
"enem2010095132";NA;"2";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095132.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,81992;-0,44177;0,20887;1
"enem2010095133";NA;"30";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095133.jpg";"radio_image";"A";"B";"C";"D";"E";"A";0,99788;1,31359;0,09659;1
"enem2010095134";NA;"15";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095134.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,78488;0,98614;0,16763;1
"enem2010095135";NA;"29";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010095135.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,84547;1,53135;0,19366;1
"enem2010111091e";"e";NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111091e.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,67333;-0,12946;0,1239;1
"enem2010111092e";"e";NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111092e.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,65128;1,07938;0,21616;1
"enem2010111093e";"e";NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111093e.jpg";"radio_image";"A";"B";"C";"D";"E";"D";3,3733;0,24511;0,1592;1
"enem2010111094e";"e";NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111094e.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,27219;0,34569;0,07651;1
"enem2010111095e";"e";NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111095e.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,93496;-0,15438;0,13419;1
"enem2010111091i";"i";NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111091i.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,08278;-0,65094;0,19234;1
"enem2010111092i";"i";NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111092i.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,23805;-0,82101;0,10764;1
"enem2010111093i";"i";NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111093i.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,34168;-0,72074;0,17132;1
"enem2010111094i";"i";NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111094i.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,04309;0,06731;0,06311;1
"enem2010111095i";"i";NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111095i.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,39987;-0,01608;0,16573;1
"enem2010111096";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111096.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,22394;-0,82853;0,14865;1
"enem2010111097";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111097.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,23063;-0,80722;0,10099;1
"enem2010111098";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111098.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,80681;0,83426;0,17632;1
"enem2010111099";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111099.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,36979;-0,23487;0,12324;1
"enem2010111100";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111100.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,99507;0,77373;0,18649;1
"enem2010111101";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111101.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,27004;-0,47045;0,20744;1
"enem2010111102";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111102.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,13859;-0,52625;0,14432;1
"enem2010111103";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111103.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,78654;1,10624;0,15634;1
"enem2010111104";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111104.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,75325;-0,28851;0,14891;1
"enem2010111105";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111105.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,1335;-0,44754;0,04061;1
"enem2010111106";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111106.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,50134;0,38389;0,21672;1
"enem2010111107";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111107.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,41688;-0,2503;0,19777;1
"enem2010111108";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111108.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,41885;-0,69407;0,10456;1
"enem2010111109";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111109.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,47548;-0,00188;0,11458;1
"enem2010111110";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111110.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,71772;0,77201;0,16928;1
"enem2010111111";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111111.jpg";"radio_image";"A";"B";"C";"D";"E";"B";4,04976;0,28466;0,18774;1
"enem2010111112";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111112.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,46865;0,19705;0,14557;1
"enem2010111113";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111113.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,67614;0,14507;0,12372;1
"enem2010111114";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111114.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,53089;-0,92559;0,04326;1
"enem2010111115";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111115.jpg";"radio_image";"A";"B";"C";"D";"E";"B";0,93253;0,13765;0,08468;1
"enem2010111116";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111116.jpg";"radio_image";"A";"B";"C";"D";"E";"C";5,20052;0,55686;0,18469;1
"enem2010111118";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111118.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,04192;-0,21952;0,09268;1
"enem2010111119";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111119.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,20112;1,34806;0,20607;1
"enem2010111120";NA;NA;1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010111120.jpg";"radio_image";"A";"B";"C";"D";"E";"C";3,11204;-0,1387;0,21765;1
